FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate/_xsi:nil,AddressLine1
53394,1203,A Gillion (Cooked Meats) Ltd,Retailers - other,4613,128-130 College Road,Crosby,Sefton Council,L23 3DP,5,fhrs_5_en-GB,2020-03-17,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-3.03260600000000,53.48626100000000,,
1003054,170319,A Great Little Place - Atkinson,Restaurant/Cafe/Canteen,1,Lord Street,Southport,Sefton Council,PR8 1DB,5,fhrs_5_en-GB,2019-08-28,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-3.00585794448853,53.64732360839840,,The Atkinson
1043307,174130,A Tyrey Produce (Within Parfetts),Retailers - other,4613,Topham Drive,Aintree,Sefton Council,L9 5AT,5,fhrs_5_en-GB,2018-04-16,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.95041894912720,53.47791671752930,,
111719,4102,Abbegale Lodge,Hospitals/Childcare/Caring Premises,5,9 Merton Road,Bootle,Sefton Council,L20 3BG,5,fhrs_5_en-GB,2020-01-27,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.98492100000000,53.44913500000000,,Abbegale Lodge
123537,5195,Abbendon Nursing Home,Hospitals/Childcare/Caring Premises,5,45 Scarisbrick New Road,Southport,Merseyside,PR8 6PE,5,fhrs_5_en-GB,2019-02-28,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-2.99197500000000,53.63980900000000,,
785985,162515,Abbey Groceries Ltd,Retailers - other,4613,Topham Drive,Aintree,Merseyside,L9 5AL,5,fhrs_5_en-GB,2020-03-13,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.95092900000000,53.47919900000000,,
508340,6510,Abbeyfield,Hospitals/Childcare/Caring Premises,5,4 Warren Road,Blundellsands,Merseyside,L23 6UB,5,fhrs_5_en-GB,2018-10-26,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-3.04112200000000,53.48569300000000,,
78432,1866,Abbeyfield,Hospitals/Childcare/Caring Premises,5,14-16 Eshe Road,Crosby,Sefton Council,L23 3AR,5,fhrs_5_en-GB,2019-01-21,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.03526400000000,53.48833200000000,,Marsh House
639491,682,Abbeyfield Brows Lodge & Milverton,Hospitals/Childcare/Caring Premises,5,3 Brows Lane,Formby,Merseyside,L37 3HY,5,fhrs_5_en-GB,2019-01-08,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.06649700000000,53.55575200000000,,
735522,2010,Abbeyfield Formby Society Ltd,Hospitals/Childcare/Caring Premises,5,58 Freshfield Road,Formby,Sefton Council,L37 3HW,5,fhrs_5_en-GB,2019-01-15,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.06865900000000,53.56069400000000,,
116764,46,Abbeyfield Gadsby House,Hospitals/Childcare/Caring Premises,5,28 Alexandra Road,Southport,Merseyside,PR9 9EZ,5,fhrs_5_en-GB,2019-05-07,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-2.99329400000000,53.65343300000000,,
133007,6535,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,43 Waterloo Road,Birkdale,Merseyside,PR8 2NQ,5,fhrs_5_en-GB,2017-05-05,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.02633800000000,53.62909200000000,,
117228,4646,Abbotsbury,Hospitals/Childcare/Caring Premises,5,25 Park Road,Southport,Merseyside,PR9 9JL,5,fhrs_5_en-GB,2018-11-06,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-2.98432700000000,53.65173700000000,,
121260,50,Abingdon Residential Home,Hospitals/Childcare/Caring Premises,5,48 Alexandra Road,Southport,Merseyside,PR9 9HH,5,fhrs_5_en-GB,2019-05-07,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-2.99080400000000,53.65113500000000,,
751296,167622,Absolute Jerk Cafe,Restaurant/Cafe/Canteen,1,3-4 Parrs Corner Marsh Lane,Bootle,,L20 5AJ,1,fhrs_1_en-GB,2020-01-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,15,15,20,FHRS,False,-2.99105501174927,53.45524215698240,,
121227,4998,Acacia Court Rest Home,Hospitals/Childcare/Caring Premises,5,17-19 Roe Lane,Southport,Merseyside,PR9 9EB,5,fhrs_5_en-GB,2019-11-21,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-2.98255700000000,53.65170600000000,,
108061,3839,Activity for All CIC,Restaurant/Cafe/Canteen,1,Maguire Avenue,Bootle,Merseyside,L20 9PQ,4,fhrs_4_en-GB,2020-02-25,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,10,FHRS,False,-3.00091700000000,53.44828300000000,,Bootle Stadium Sports Centre
1125039,25242,Adam Lurie - Honey,Farmers/growers,7838,41 Carisbrooke Drive,Southport,Sefton Council,PR9 7JD,Exempt,fhrs_exempt_en-GB,2017-12-11,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-2.97209570000000,53.65679700000000,,
735553,5537,Adana BBQ,Restaurant/Cafe/Canteen,1,60 South Road,Waterloo,Merseyside,L22 5PQ,5,fhrs_5_en-GB,2020-07-07,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.02773900000000,53.47383500000000,,
145115,8511,Addison Arms,Pub/bar/nightclub,7843,Stanley Road,Bootle,Sefton Council,L20 3LT,5,fhrs_5_en-GB,2019-07-08,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,0,FHRS,False,-2.99150800000000,53.45268500000000,,"Yates Wine Lodges Ltd, The Triad"
115409,446,Adelphi Hotel,Hotel/bed & breakfast/guest house,7842,39 Bold Street,Southport,Merseyside,PR9 0ED,5,fhrs_5_en-GB,2017-09-26,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.00474900000000,53.65156700000000,,
96937,2990,Aden Gulf News,Retailers - other,4613,12 Linacre Lane,Bootle,Merseyside,L20 5AH,4,fhrs_4_en-GB,2018-10-03,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,10,5,5,FHRS,False,-2.99113600000000,53.45870200000000,,
502655,165101,ADM Meats,Retailers - other,4613,Columbus Way,Litherland,Sefton Council,L21 2QG,4,fhrs_4_en-GB,2020-02-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,10,FHRS,False,-3.00178300000000,53.46821300000000,,"Unit 4, Bridge Road Industrial Estate"
1255679,93899,Aegean Innovation Ltd,Retailers - other,4613,,,,,AwaitingInspection,fhrs_awaitinginspection_en-GB,,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,,,true,
1030011,165354,After Care (NW) Ltd,Hospitals/Childcare/Caring Premises,5,103 Hampton Road,Southport,Sefton Council,PR8 5DY,5,fhrs_5_en-GB,2018-02-15,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.00053310394287,53.63712310791020,,
127438,5674,Afton Lodge Rest Home,Hospitals/Childcare/Caring Premises,5,9-15 St Catherines Road,Bootle,Merseyside,L20 7AL,5,fhrs_5_en-GB,2019-12-10,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.99378200000000,53.44752500000000,,
1243307,177851,Age Concern,Restaurant/Cafe/Canteen,1,Crosby Road North,Waterloo,Sefton Council,L22 0LQ,5,fhrs_5_en-GB,2020-03-11,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.02248100000000,53.47758400000000,,Waterloo United Free Church
859375,165545,Ainsdale Fruit & Veg,Retailers - other,4613,666 Liverpool Road,Ainsdale,Sefton Council,PR8 3LT,5,fhrs_5_en-GB,2019-09-26,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.03445600000000,53.60308000000000,,Ainsdale Fruit And Veg
139345,7495,Ainsdale Lunch and Leisure,Restaurant/Cafe/Canteen,1,Liverpool Road,Ainsdale,Sefton Council,PR8 3NQ,5,fhrs_5_en-GB,2019-04-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-3.03415107727051,53.59984588623050,,Ainsdale Methodist Church
1008521,157290,Ainsdale Post Office,Retailers - other,4613,74 Station Road,Ainsdale,Merseyside,PR8 3HW,Exempt,fhrs_exempt_en-GB,2017-10-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-3.03876209259033,53.60238647460940,,
122690,5114,Ainsdale St John's C of E Primary School,School/college/university,7845,Sandbrook Road,Ainsdale,Sefton Council,PR8 3JE,5,fhrs_5_en-GB,2019-04-04,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-3.03215100000000,53.59962200000000,,Ainsdale St Johns Church Of England Primary School
352496,7390,Aintree Conservative Club,Pub/bar/nightclub,7843,Lancing Drive,Aintree,Sefton Council,L10 8LN,4,fhrs_4_en-GB,2018-01-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,10,5,FHRS,False,-2.93671700000000,53.48111000000000,,Aintree Conservative Club
66878,15,Aintree Davenhill Primary School,School/college/university,7845,Aintree Lane,Aintree,Sefton Council,L10 8LE,5,fhrs_5_en-GB,2018-11-21,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-2.94227900000000,53.48119200000000,,Aintree Davenhill Primary School
1082495,12,Aintree Lane (Respite),Hospitals/Childcare/Caring Premises,5,89 Aintree Lane,Aintree,Merseyside,L10 2JJ,5,fhrs_5_en-GB,2018-10-10,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,0,FHRS,False,-2.94358280000000,53.48215820000000,,
116024,4521,Aintree Racecourse,Restaurant/Cafe/Canteen,1,Ormskirk Road,Aintree,Sefton Council,L9 5AS,5,fhrs_5_en-GB,2019-05-16,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.95240300000000,53.47503500000000,,Aintree Racecourse
650889,165879,Aintree Tandoori,Restaurant/Cafe/Canteen,1,2 Ormskirk Road,Aintree,Sefton Council,L9 0JB,5,fhrs_5_en-GB,2019-01-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-2.95508500000000,53.47302700000000,,
650940,9613,Aintree Village Youth and Community Centre,Pub/bar/nightclub,7843,Oriel Drive,Aintree,Liverpool,L10 6AR,Exempt,fhrs_exempt_en-GB,2019-03-13,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,,,,
688258,166825,Alanah Trading Ltd,Retailers - other,4613,Preston New Road,Southport,Sefton Council,PR9 8NU,5,fhrs_5_en-GB,2017-06-27,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-2.95334100723267,53.67450332641600,,BP Garage
944952,11484,Albany Oasis,Restaurant/Cafe/Canteen,1,6 Albany Road,Southport,Sefton Council,PR9 0JD,5,fhrs_5_en-GB,2020-01-07,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,0,FHRS,False,-2.99969300000000,53.65723600000000,,
352474,2389,Albion Hotel,Pub/bar/nightclub,7843,408 Hawthorne Road,Bootle,Merseyside,L20 9AY,4,fhrs_4_en-GB,2017-11-30,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,10,5,FHRS,False,-2.98343900000000,53.45408200000000,,
452284,4639,Aldi Foodstore Ltd,Retailers - supermarkets/hypermarkets,7840,Park Lane West,Netherton,Sefton Council,L30 6UH,5,fhrs_5_en-GB,2018-10-11,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-2.96903100000000,53.48334200000000,,Aldi
639499,7940,Aldi Store,Retailers - supermarkets/hypermarkets,7840,Foul Lane,Southport,Merseyside,PR9 7RG,5,fhrs_5_en-GB,2019-12-09,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-2.96895700000000,53.63531400000000,,Meols Cop Retail Park
1087946,134575,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,174 Liverpool Road,Birkdale,Sefton Council,PR8 4NY,5,fhrs_5_en-GB,2018-11-13,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.01391880000000,53.62339880000000,,
639438,162165,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,251 Moor Lane,Thornton,Merseyside,L23 4TN,5,fhrs_5_en-GB,2020-02-03,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,,,,
71892,163418,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,Washington Parade,Bootle,Merseyside,L20 5HH,5,fhrs_5_en-GB,2019-08-01,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-3.00091700000000,53.44828300000000,,Leaders Autos
537903,3066,Alex Kebab House,Takeaway/sandwich shop,7844,177 Linacre Road,Litherland,Sefton Council,L21 8JS,AwaitingInspection,fhrs_awaitinginspection_en-GB,,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-2.99575800000000,53.46181800000000,true,
1125075,6141,Alexanders Pharmacy,Retailers - other,4613,49-51 Stuart Road,Crosby,Merseyside,L23 0QE,Exempt,fhrs_exempt_en-GB,2018-10-04,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-3.01659460000000,53.48231610000000,,
108024,38347,Alexanders Sandwich Bar,Takeaway/sandwich shop,7844,2 Endbutt Lane,Crosby,Sefton Council,L23 0TR,5,fhrs_5_en-GB,2019-12-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-3.02279700000000,53.48885300000000,,
569513,5544,Alexandra Hotel,Pub/bar/nightclub,7843,69 South Road,Waterloo,Merseyside,L22 5PE,5,fhrs_5_en-GB,2020-02-14,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-3.02791400000000,53.47422900000000,,
71574,162462,Alexandra's,Restaurant/Cafe/Canteen,1,514 Stanley Road,Bootle,Merseyside,L20 5DW,5,fhrs_5_en-GB,2020-02-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-2.99305000000000,53.45936000000000,,
569508,3945,All About Cakes,Retailers - other,4613,26 Market Street,Southport,Merseyside,PR8 1HJ,5,fhrs_5_en-GB,2019-05-01,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.00655400000000,53.64544000000000,,
1197865,177222,All Budget Catering Ltd,Takeaway/sandwich shop,7844,Unit 12 The Bridgewater Complex,Canal Street,Bootle,L20 8AH,5,fhrs_5_en-GB,2019-10-09,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-2.99612290000000,53.44592850000000,,
1034291,174233,All Budget Caterings,Other catering premises,7841,Stewart Avenue,Bootle,Sefton Council,L20 9JD,5,fhrs_5_en-GB,2018-05-04,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-2.97795900000000,53.45415400000000,,St Monicas Parochial Club
146216,8867,All in One,Retailers - other,4613,70-72 Myers Road East,Crosby,Sefton Council,L23 0QZ,4,fhrs_4_en-GB,2019-07-01,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,10,FHRS,False,-3.01787800000000,53.48297100000000,,
57491,129276,All In One Convenience Store,Retailers - other,4613,96 Liverpool Road South,Maghull,Sefton Council,L31 7AG,3,fhrs_3_en-GB,2019-07-05,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,10,10,10,FHRS,False,-2.94648400000000,53.50555400000000,,
650877,1532,All In One Express,Retailers - other,4613,3 Dover Road,Maghull,Sefton Council,L31 5JB,5,fhrs_5_en-GB,2019-05-10,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.94541100000000,53.50005200000000,,
98326,3096,All in One Express,Retailers - other,4613,4 Litherland Road,Bootle,Sefton Council,L20 3BZ,4,fhrs_4_en-GB,2019-06-20,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,10,0,5,FHRS,False,-2.98686600000000,53.44926300000000,,
42050,1039,All Saints Catholic Primary School,School/college/university,7845,Chesnut Grove,Bootle,Sefton Council,L20 4LX,5,fhrs_5_en-GB,2018-11-05,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-2.99723000000000,53.45588200000000,,All Saints Catholic Primary School And Childrens Centre
639452,165830,All Saints Children Ventures Ltd,Hospitals/Childcare/Caring Premises,5,Forefield Lane,Crosby,Sefton Council,L23 9SL,5,fhrs_5_en-GB,2020-03-05,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.00881400000000,53.48900800000000,,Forefield Infant School
352457,160880,All Saints Childrens Ventures Ltd,Restaurant/Cafe/Canteen,1,93b Forefield Lane,Crosby,Sefton Council,L23 9TQ,5,fhrs_5_en-GB,2020-02-12,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.01070600000000,53.49124800000000,,
606521,1966,All Saints with St Frideswyde Church Hall,Pub/bar/nightclub,7843,93B Forefield Lane,Crosby,Merseyside,L23 9TQ,5,fhrs_5_en-GB,2019-11-26,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-3.01068902015686,53.49125671386720,,Community Hub
692415,7522,All Souls Church - Brighter Living Partnership,Restaurant/Cafe/Canteen,1,Norwood Road,Southport,,PR8 6HQ,5,fhrs_5_en-GB,2018-07-19,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-2.97555500000000,53.64337700000000,,
1251002,21641,All Things Cake,Other catering premises,7841,,,,,AwaitingInspection,fhrs_awaitinginspection_en-GB,,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,,,true,
1051523,1799,Alliance Pharmacy,Retailers - other,4613,19 Elbow Lane,Formby,Sefton Council,L37 4AB,Exempt,fhrs_exempt_en-GB,2018-03-19,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-3.06250596046448,53.55552673339840,,
990404,169735,Allotment,Restaurant/Cafe/Canteen,1,25-29 Liverpool Road,Birkdale,Liverpool,PR8 4AR,5,fhrs_5_en-GB,2019-11-29,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.01369094848633,53.63392639160160,,
114236,4324,Al's Diner,Restaurant/Cafe/Canteen,1,54-56 Nevill Street,Southport,Merseyside,PR9 0DR,5,fhrs_5_en-GB,2019-08-23,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.00645700000000,53.65024000000000,,
1208579,162438,Alt Cafe Hightown,Restaurant/Cafe/Canteen,1,23 Lower Alt Road,Hightown,Merseyside,L38 0BA,5,fhrs_5_en-GB,2019-12-09,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-3.06281900000000,53.52507210000000,,
149560,9626,Alt Park,Pub/bar/nightclub,7843,Northway,Maghull,Merseyside,L31 5JA,5,fhrs_5_en-GB,2019-09-17,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-2.94542600000000,53.50069900000000,,
78184,1855,Amanda's,Takeaway/sandwich shop,7844,37 Ennerdale Drive,Litherland,Sefton Council,L21 5HY,3,fhrs_3_en-GB,2019-05-01,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,10,10,10,FHRS,False,-2.98023100000000,53.47303900000000,,
