FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate/_xsi:nil
457556,12/00111/MIXED,Aldi,Retailers - supermarkets/hypermarkets,7840,1 The Halewood Shopping Centre,Leathers Lane,Halewood,Knowsley,L26 0AD,5,fhrs_5_en-GB,2017-06-27,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
858330,14/00121/FOOD,Aldi,Retailers - supermarkets/hypermarkets,7840,Copplehouse Lane,Field Lane Estate,Knowsley,,L10 0AE,5,fhrs_5_en-GB,2017-03-22,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.91474200000000,53.46899200000000,
221046,01866/0149/0/000,Alex News,Retailers - other,4613,Alexs News,149 Thomas Lane,Huyton,Knowsley,L14 5NT,2,fhrs_2_en-GB,2018-05-15,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,15,10,FHRS,False,-2.89205408096313,53.41292953491210,
1005309,17/00144/FOOD,Alex's Cupcakery,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2017-09-05,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
1073592,18/00067/MIXED,All In One,Retailers - other,4613,175 - 177 Tarbock Road,Huyton,Knowsley,,L36 5TG,4,fhrs_4_en-GB,2018-08-16,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,10,5,FHRS,False,-2.83684050000000,53.40381770000000,
1035835,18/00012/FOOD,All In One Express,Retailers - other,4613,50 Woodlands Road,Roby,Knowsley,,L36 4PH,5,fhrs_5_en-GB,2018-02-28,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,5,FHRS,False,-2.85845200000000,53.41257400000000,
1132073,19/00055/FOOD,All Occassions Catering,Other catering premises,7841,,,,,,AwaitingInspection,fhrs_awaitinginspection_en-GB,,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,,,true
220624,10/00084/FOOD,All Saints Catholic Centre For Learning,School/college/university,7845,Roughwood Drive,Northwood,Kirkby,Knowsley,L33 8XF,5,fhrs_5_en-GB,2019-09-12,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88426200000000,53.48546400000000,
221078,00199/4002/2/000,ALS Inspection UK Ltd,Restaurant/Cafe/Canteen,1,Caddick Road,Knowsley Business Park,Knowsley,,L34 9HP,5,fhrs_5_en-GB,2018-10-16,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,-2.86153000000000,53.45840400000000,
220694,01335/4000/2/000,Alt Bridge Secondary Support Centre,School/college/university,7845,Wellcroft Road,Huyton,Knowsley,,L36 7TA,4,fhrs_4_en-GB,2019-10-24,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,0,0,FHRS,False,-2.83725800000000,53.41966400000000,
1159219,19/00080/FOOD,Amber Coffee Traders Ltd,Mobile caterer,7846,,,,,,5,fhrs_5_en-GB,2019-07-26,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
947977,17/00036/FOOD,Amorous Catering,Other catering premises,7841,Unit 3,Marl Road Business Centre,1 Marl Road,Knowsley Industrial Park,L33 7UH,5,fhrs_5_en-GB,2019-05-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.85704700000000,53.48785500000000,
220842,09330/4001/2/000,Anglia Restaurant,Restaurant/Cafe/Canteen,1,(Jaguar Plant),South Road,Halewood,Knowsley,L24 9BJ,5,fhrs_5_en-GB,2018-12-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,0,FHRS,False,-2.83744500000000,53.34954000000000,
528259,13/00051/FOOD,Antonio's,Takeaway/sandwich shop,7844,1 Shop Road,Knowsley Village,Knowsley,,L34 0HD,5,fhrs_5_en-GB,2019-02-05,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.85350900000000,53.45421800000000,
220710,01098/0173/0/000,Appleby Court Nursing Home,Hospitals/Childcare/Caring Premises,5,173 Roughwood Drive,Northwood,Kirkby,Knowsley,L33 8YR,5,fhrs_5_en-GB,2019-02-21,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.87993300000000,53.48820200000000,
1127406,00044/4002/2/000,Arncliffe Community Centre,Other catering premises,7841,Arncliffe Road,Halewood,Knowsley,,L25 9PA,4,fhrs_4_en-GB,2020-02-26,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,10,FHRS,False,-2.84814000000000,53.36993300000000,
1109692,19/00008/FOOD,Arncliffe Court Nursing Home,Hospitals/Childcare/Caring Premises,5,147B Arncliffe Road,Halewood,Knowsley,,L25 9QF,5,fhrs_5_en-GB,2019-02-05,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.84935100000000,53.36508660000000,
221183,00653/4010/2/000,Asda,Retailers - supermarkets/hypermarkets,7840,Huyton Lane,Huyton,Knowsley,,L36 7TX,5,fhrs_5_en-GB,2018-03-22,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.83683200000000,53.41256600000000,
1149614,19/00063/FOOD,ASET Hospital,Hospitals/Childcare/Caring Premises,5,1 Sandstone Drive,Whiston,Knowsley,,L35 7LS,5,fhrs_5_en-GB,2020-01-29,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.78428840000000,53.42444450000000,
1098232,19/00001/COM,Asquith Kirkby Day Nursery,Hospitals/Childcare/Caring Premises,5,David Lloyd Leisure Centre,Arbour Lane,Knowsley Industrial Park,Kirkby,L33 7ET,5,fhrs_5_en-GB,2019-01-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.87019300000000,53.47841300000000,
221047,01754/0011/0/000,Avondale Nursing Home,Hospitals/Childcare/Caring Premises,5,11 Sandstone Drive,Prescot,Knowsley,,L35 7LS,5,fhrs_5_en-GB,2019-12-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.77962800000000,53.42542900000000,
892946,16/00162/MIXED,B & M Retail Ltd,Retailers - other,4613,78 St Chads Parade,Kirkby Town Centre,Knowsley,,L32 8UG,5,fhrs_5_en-GB,2017-09-15,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88853400000000,53.48217000000000,
220747,08/00067/MIXED,B And M Bargains,Retailers - other,4613,6 - 8 Cavendish Walk,Derby Road,Huyton,Knowsley,L36 9YG,5,fhrs_5_en-GB,2018-08-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.83928600000000,53.41262000000000,
858292,09242/4007/2/000,B And M Bargains,Retailers - other,4613,B And M Retail Ltd,4E Cables Retail Park,Steley Way,Prescot,L34 5NQ,5,fhrs_5_en-GB,2019-03-21,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.80338150000000,53.42662770000000,
220552,00413/0073/0/000,B P Devlin's,Retailers - other,4613,73 Eccleston Street,Prescot,Knowsley,,L34 5QH,5,fhrs_5_en-GB,2020-06-01,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.80276200000000,53.42963600000000,
940874,17/00002/MIXED,Bailey Court,Restaurant/Cafe/Canteen,1,James Holt Avenue,Westvale,Kirkby,Knowsley,L32 5AB,5,fhrs_5_en-GB,2020-02-12,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.89820400000000,53.47985900000000,
1089523,18/00097/FOOD,Baked To Perfection,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2018-10-24,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
221143,00118/4005/2/000,Baker Hughes,Restaurant/Cafe/Canteen,1,Birchill Road,Knowsley Industrial Park,Kirkby,Knowsley,L33 7TD,5,fhrs_5_en-GB,2019-11-20,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.85579600000000,53.48481800000000,
974575,17/00102/FOOD,Bakerella Cakes,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2017-06-20,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
220757,01126/0012/0/000,Banana Bunch,Retailers - other,4613,12 St Chads Parade,Kirkby Town Centre,Knowsley,,L32 8RH,5,fhrs_5_en-GB,2018-01-24,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,-2.88685900000000,53.48205600000000,
220846,01456/4000/2/000,Barclaycard Centre,Restaurant/Cafe/Canteen,1,Norwich Way,Kirkby Town Centre,Knowsley,,L32 8UX,5,fhrs_5_en-GB,2020-02-11,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88980007171631,53.48352813720703,
220928,00807/0010/0/000,Bargain Booze,Retailers - other,4613,10 Mackets Lane,Halewood,Knowsley,,L25 0LQ,Exempt,fhrs_exempt_en-GB,2017-06-16,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.85206500000000,53.36172500000000,
221007,01081/0002/0/000,Bargain Booze,Retailers - other,4613,2-4 Rimmer Avenue,Roby,Knowsley,,L16 2NG,Exempt,fhrs_exempt_en-GB,2020-02-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.87307200000000,53.40651700000000,
220785,00624/0003/0/000,Bargain Booze,Retailers - other,4613,3 Hollies Road,Halewood,Knowsley,,L26 0TE,Exempt,fhrs_exempt_en-GB,2018-05-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.82819000000000,53.36732200000000,
1069716,18/00001/MIXED,Bargain Booze,Retailers - other,4613,4 The Croft,Stockbridge Village,Knowsley,,L28 1NR,Exempt,fhrs_exempt_en-GB,2018-08-09,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.86875900000000,53.43555500000000,
220614,01386/0005/0/000,Bargain Booze,Retailers - other,4613,5-7 Windy Arbor Road,Whiston,Knowsley,,L35 3PA,Exempt,fhrs_exempt_en-GB,2017-08-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.80109000000000,53.41036600000000,
221094,00973/0009/0/000,Bargain Booze,Retailers - other,4613,9 Page Moss Parade,Roby,Knowsley,,L36 2PA,Exempt,fhrs_exempt_en-GB,2018-03-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.86582200000000,53.41765300000000,
220755,00041/0002/0/000,Barkers Brewery,Pub/bar/nightclub,7843,2-4 Archway Road,Huyton,Knowsley,,L36 9XB,5,fhrs_5_en-GB,2019-03-22,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,0,5,FHRS,False,-2.84150000000000,53.41276600000000,
1127409,19/00033/MIXED,Batleys Cash And Carry,Distributors/Transporters,7,Fallows Way,Whiston,Knowsley,,L35 1RZ,5,fhrs_5_en-GB,2019-03-28,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.81154300000000,53.40389500000000,
858338,14/00207/COM,Baxter Storey Staff Restaurant Seqirus Vaccines,Restaurant/Cafe/Canteen,1,Baxter Storey,Novartis Vaccines And Diagnostics,5A Renaissance Way,Halewood,L24 9PX,5,fhrs_5_en-GB,2019-01-25,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,,,
221017,00649/0010/0/000,Beech House Day Nursery,Hospitals/Childcare/Caring Premises,5,10 Huyton Church Road,Huyton,Knowsley,,L36 5SJ,5,fhrs_5_en-GB,2020-02-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,5,FHRS,False,-2.83548900000000,53.41158600000000,
1077479,18/00073/MIXED,Beer EnGin,Pub/bar/nightclub,7843,9 Greenes Road,Whiston,Knowsley,,L35 3RE,5,fhrs_5_en-GB,2018-09-12,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.80229380000000,53.41201910000000,
220902,00413/0079/0/000,Beijing Chinese Restaurant,Restaurant/Cafe/Canteen,1,79-81 Eccleston Street,Prescot,Knowsley,,L34 5QH,3,fhrs_3_en-GB,2020-02-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.80276200000000,53.42963600000000,
656774,14/00020/MIXED,Bernie's Sandwich Bar And Deli,Restaurant/Cafe/Canteen,1,8 Glovers Brow,Kirkby Park,Kirkby,Knowsley,L32 2AE,5,fhrs_5_en-GB,2020-03-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,0,0,FHRS,False,-2.90115400000000,53.48747700000000,
810866,15/00142/MIXED,Best One Fairways,Retailers - other,4613,Westhead Avenue,Northwood,Kirkby,Knowsley,L33 0XE,3,fhrs_3_en-GB,2018-09-17,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,5,10,FHRS,False,-2.87472400000000,53.47970900000000,
220504,09/00027/MIXED,Bexley's Butchers,Retailers - other,4613,Unit 9,Cavendish Walk,Derby Road,Huyton,L36 9YG,4,fhrs_4_en-GB,2019-01-22,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,10,FHRS,False,-2.83928600000000,53.41262000000000,
964116,17/00095/FOOD,Bibby's Ices,Mobile caterer,7846,,,,,,5,fhrs_5_en-GB,2018-04-12,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,,,
1061416,18/00046/FOOD,Big Cherry Tree Nusery,Hospitals/Childcare/Caring Premises,5,Arncliffe Road,Halewood,Knowsley,,L25 9PB,5,fhrs_5_en-GB,2018-06-26,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.84902100000000,53.36963000000000,
220681,00110/4001/2/000,Bigdale Service Station,Retailers - other,4613,Bigdale Drive,Kirkby,Knowsley,,L33 6XG,5,fhrs_5_en-GB,2018-03-07,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,5,FHRS,False,-2.87617200000000,53.48485000000000,
220974,01356/2006/2/000,Birwood Care Home,Hospitals/Childcare/Caring Premises,5,,,,,,Exempt,fhrs_exempt_en-GB,2019-03-28,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,,,
221006,01271/4001/2/000,Blacklow Brow Primary School,School/college/university,7845,Tarbock Road,Huyton,Knowsley,,L36 5XW,5,fhrs_5_en-GB,2017-06-21,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.84728300000000,53.40700000000000,
1058704,18/00037/FOOD,Bluebell Catering,Takeaway/sandwich shop,7844,23A Hampton Drive,Cronton,Knowsley,,WA8 9BZ,5,fhrs_5_en-GB,2018-08-10,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,,,
482128,12/00125/FOOD,Bluebell Park,School/college/university,7845,Cawthorne Walk,Southdene,Kirkby,Knowsley,L32 3XP,5,fhrs_5_en-GB,2019-05-10,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88756400000000,53.47111200000000,
879161,16/00160/FOOD,Blundell's,Retailers - other,4613,34 - 35 Kirkby Market,Market Square,Kirkby Town Centre,Knowsley,L32 8RG,5,fhrs_5_en-GB,2019-04-16,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88569600000000,53.48198400000000,
1082621,18/00081/FOOD,Body Fuel,Retailers - other,4613,1 Mullard House,Glovers Brow,Kirkby Park,Kirkby,L32 2AE,5,fhrs_5_en-GB,2018-10-10,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,5,FHRS,False,-2.90141440000000,53.48777060000000,
1181897,19/00099/FOOD,Booty Camp Huyton,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2019-09-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,5,FHRS,False,,,
220512,01245/0072/0/000,Booze Buster,Retailers - other,4613,72 Sugar Lane,Knowsley Village,Knowsley,,L34 0ER,Exempt,fhrs_exempt_en-GB,2018-06-27,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,-2.85210500000000,53.44952700000000,
1230800,20/00039/MIXED,Booze Extra,Retailers - other,4613,2 Gentwood Parade,Kingsway,Huyton,Knowsley,L36 2QB,5,fhrs_5_en-GB,2020-03-18,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.85147100000000,53.41933900000000,
1086775,18/00092/COM,Bowring Park Hotel,Pub/bar/nightclub,7843,2 Bowring Park Avenue,Roby,Knowsley,,L16 2LE,3,fhrs_3_en-GB,2018-10-31,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.86799097061157,53.40226745605470,
922874,16/00194/FOOD,Brackens Market Butcher Ltd,Mobile caterer,7846,,,,,,5,fhrs_5_en-GB,2016-10-24,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,,,
220503,00240/0126/0/000,Brambles,Pub/bar/nightclub,7843,126-128 Cherryfield Drive,Kirkby,Knowsley,,L32 8RX,4,fhrs_4_en-GB,2017-08-24,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,10,FHRS,False,-2.88805400000000,53.48156200000000,
844397,15/00078/MIXED,Broad Lane Chippy,Takeaway/sandwich shop,7844,1 Broad Lane,Southdene,Kirkby,Knowsley,L32 6QA,5,fhrs_5_en-GB,2020-03-18,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,-2.88176500000000,53.47115400000000,
220606,00165/0011/0/000,Broad Lane Food Market,Retailers - other,4613,11-15 Broad Lane,Southdene,Kirkby,Knowsley,L32 6QA,4,fhrs_4_en-GB,2018-11-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,10,5,FHRS,False,-2.88160100000000,53.47123700000000,
220937,10/00071/FOOD,Brook Cottage,Hospitals/Childcare/Caring Premises,5,29 Liverpool Road,Prescot,Knowsley,,L34 1NL,4,fhrs_4_en-GB,2019-02-25,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,10,FHRS,False,-2.81671000000000,53.42784200000000,
1052533,18/00034/FOOD,Brooks Tea Rooms,Restaurant/Cafe/Canteen,1,4 Childwall Parade,Pilch Lane,Roby,Knowsley,L14 6TT,4,fhrs_4_en-GB,2019-07-23,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,10,5,FHRS,False,-2.87156400000000,53.41221800000000,
554870,13/00100/FOOD,Brunch (Merseyside) Limited,Takeaway/sandwich shop,7844,10 Greenes Road,Whiston,Knowsley,,L35 3RF,3,fhrs_3_en-GB,2019-06-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.80213700000000,53.41242600000000,
868147,16/00124/COM,Bumper Pull Coffee,Restaurant/Cafe/Canteen,1,,,,,,5,fhrs_5_en-GB,2020-04-23,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
220558,09015/0017/0/000,Butterfingers,Takeaway/sandwich shop,7844,17 Swanside Parade,Pilch Lane,Roby,Knowsley,L14 7QH,4,fhrs_4_en-GB,2018-07-20,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,10,5,FHRS,False,-2.88166100000000,53.41600000000000,
220623,10/00091/FOOD,Cafe 35,Restaurant/Cafe/Canteen,1,Windy Arbor Road,Whiston,Knowsley,,L35 3RZ,3,fhrs_3_en-GB,2019-03-07,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.80330500000000,53.41055800000000,
1098233,19/00002/FOOD,Cafe Connect,Restaurant/Cafe/Canteen,1,Jaguar Plant,North Road,Halewood,Knowsley,L24 9BJ,5,fhrs_5_en-GB,2018-12-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.83744500000000,53.34954000000000,
1210170,19/00124/FOOD,Cafe Di L'Olivetto,Other catering premises,7841,The Woodlands Centre,Wilson Road,Huyton,Knowsley,L36 6AD,5,fhrs_5_en-GB,2019-12-04,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.81591090000000,53.40110420000000,
955584,17/00082/FOOD,Cafe Evoque,Other catering premises,7841,Jaguar Plant,North Road,Halewood,Knowsley,L24 9LE,4,fhrs_4_en-GB,2018-12-13,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,0,10,FHRS,False,-2.82528200000000,53.34978700000000,
740559,15/00053/MIXED,Cafe@conservatory Ltd,Restaurant/Cafe/Canteen,1,Prestige Complex,Ashcroft Road,Knowsley Industrial Park,Kirkby,L33 7TW,4,fhrs_4_en-GB,2020-02-19,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,10,5,FHRS,False,-2.85296200000000,53.48555700000000,
1181896,19/00098/FOOD,Cakes By Mel,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2019-09-12,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,5,FHRS,False,,,
858349,15/00106/FOOD,Cakey-B,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2018-11-15,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,5,FHRS,False,,,
1177954,19/00095/FOOD,Cannabi4Health CBD Oil Solutions,Other catering premises,7841,,,,,,Exempt,fhrs_exempt_en-GB,,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,,,,FHRS,False,,,true
