FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate/_xsi:nil,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,AddressLine2
496643,PI/000085287,A G Parfett & Sons,Distributors/Transporters,7,Parfetts Of Anfield Ltd Larch Lea,Liverpool,Liverpool,L6 5BN,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95193600654602,53.42254257202150,2018-12-18,0,0,5,
1243857,71780,A La Carte Express,Other catering premises,7841,"A La Carte Express, Liverpool Cricket Club Aigburth Road",Liverpool,Liverpool,L19 3QF,3,fhrs_3_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91799807548523,53.36364364624020,2018-11-30,10,10,10,Cressington
1244085,75928,A Slower Space,Retailers - other,4613,38 Penny Lane,Liverpool,Liverpool,L18 1DG,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92002080000000,53.38638830000000,2019-10-17,0,0,0,
1094224,PI/000274383,A Small Fish In a Big Pond Cafe,Restaurant/Cafe/Canteen,1,"Cafe, 16 Water Street",Liverpool,Liverpool,L2 8TD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.99326160000000,53.40652130000000,2018-12-19,5,5,5,Liverpool Two
1244154,76319,A Tavola Italian Deli,Retailers - other,4613,"A Tavola Delicatessen Limited, 12 Madison Square",Liverpool,Liverpool,L1 5BF,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97877407073975,53.40052795410160,2019-11-18,5,5,5,
997780,PI/000271301,A Team Caterers,Other catering premises,7841,6 Alexandra Road,Liverpool,Liverpool,L7 6HL,4,fhrs_4_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94224750000000,53.40085240000000,2018-10-30,5,5,10,Edge Hill
997762,PI/000260651,A/Z Frozen Foods Ltd,Distributors/Transporters,7,98A High Street,Liverpool,Liverpool,L15 8HQ,4,fhrs_4_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91707240000000,53.39821310000000,2019-03-14,0,10,10,Wavertree
496918,PI/000113199,Aachen Hotel,Hotel/bed & breakfast/guest house,7842,89 - 91 Mount Pleasant,Liverpool,Liverpool,L3 5TB,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97318210000000,53.40399000000000,2019-02-04,0,0,0,
1262325,78282,AB Marnell Limited,Hotel/bed & breakfast/guest house,7842,13 Queenscourt Road,Liverpool,Liverpool,L12 8RH,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.89908120000000,53.42372530000000,,,,,
876542,PI/000268856,AB Quality Meats,Mobile caterer,7846,1 St Johns Road,Liverpool,Liverpool,L20 8BH,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.99120990000000,53.43862810000000,2016-05-18,0,0,0,
496260,PI/000033424,Abbey Friar,Takeaway/sandwich shop,7844,32 Childwall Abbey Road,Liverpool,Liverpool,L16 0JN,3,fhrs_3_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.89056780000000,53.39438640000000,2018-03-08,10,10,10,
497388,PI/000159890,Abbey Hotel,Restaurant/Cafe/Canteen,1,153 Walton Lane,Liverpool,Liverpool,L4 4HH,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96839890000000,53.43579500000000,2018-06-22,0,0,0,
496049,PI/000007846,Abbey Lawns Care Home,Hospitals/Childcare/Caring Premises,5,3 Anfield Road,Liverpool,Liverpool,L4 0TD,3,fhrs_3_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96599240000000,53.43322580000000,2020-01-08,10,5,10,
497284,PI/000147953,Abbey Road Wine Bar,Pub/bar/nightclub,7843,126 Stonebridge Lane,Liverpool,Liverpool,L11 9AZ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.90344240000000,53.45127010000000,2018-06-22,0,0,0,
496337,PI/000039769,Abbeydale,Hospitals/Childcare/Caring Premises,5,Abbeydale Nursing Home Croylands Street,Liverpool,Liverpool,L4 3QS,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97301506996155,53.43752670288090,2019-09-09,,,,
498566,PI/000246476,ABC Woolton Day Nursery,Hospitals/Childcare/Caring Premises,5,31 Woolton Street,Liverpool,Liverpool,L25 5NH,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.86517490000000,53.37396180000000,2019-03-11,0,5,0,
1244076,75886,Abditory,Restaurant/Cafe/Canteen,1,22 Queen Avenue,Liverpool,Liverpool,L2 4TX,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.99025600000000,53.40701280000000,,,,,
496785,PI/000098047,Abdullah & Sons,Retailers - other,4613,165 Lodge Lane,Liverpool,Liverpool,L8 0QQ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94919380000000,53.39197590000000,2017-09-28,0,5,0,
1094215,PI/000273901,Abercromby Nursery School (Snacks),School/college/university,7845,Abercromby Nursery And Community School Falkner Street,Liverpool,Liverpool,L8 7QA,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96547889709473,53.39926147460940,2019-01-31,0,5,5,
1243516,18911,Abi Mini Market,Retailers - other,4613,41 - 43 Warwick Street,Liverpool,Liverpool,L8 6TG,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97642530000000,53.38994080000000,,,,,
861197,PI/000268517,Abra-ca-dabra,Retailers - other,4613,128 Walton Village,Liverpool,Liverpool,L4 6TN,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96131880000000,53.44490380000000,2016-04-28,0,0,0,
570373,PI/000257518,Absolutely Catering at Anfield,School/college/university,7845,"Absolutely Catering, Anfield Road Primary School Anfield Road",Liverpool,Liverpool,L4 0TN,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95487093925476,53.42859649658200,2018-12-04,0,5,5,
606072,PI/000257531,Absolutely Catering at Arnot,School/college/university,7845,"Absolutely Catering, Arnot Community Primary School Arnot Street",Liverpool,Liverpool,L4 0TN,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95487093925476,53.42859649658200,2018-11-09,0,0,0,
683759,PI/000257532,Absolutely Catering at Banks Road,School/college/university,7845,"Absoultely Catering, Banks Road Primary School Banks Road",Liverpool,Liverpool,L19 8JZ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.89052700996399,53.34777069091800,2017-12-04,0,5,0,
616757,PI/000257542,Absolutely Catering at Childwall,School/college/university,7845,"Absolutley Catering, Childwall Church Of England Primary School Woolton Road",Liverpool,Liverpool,L16 0JD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.89110803604126,53.38928604125980,2019-03-29,0,5,0,Childwall
634259,PI/000257548,Absolutely Catering at Emmaus,School/college/university,7845,"Absolutely Catering, 105 Fir Tree Drive South",Liverpool,Liverpool,L12 0JE,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.87869095802307,53.44930648803710,2019-07-18,0,0,0,
622245,PI/000257549,Absolutely Catering at Faith Primary,School/college/university,7845,"Absolutely Catering, Faith Primary School Prince Edwin Street",Liverpool,Liverpool,L5 3LW,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97267007827759,53.41843032836910,2019-05-20,5,5,0,
634260,PI/000257554,Absolutely Catering at Fazakerly,School/college/university,7845,Fazakerley Primary School Formosa Drive,Liverpool,Liverpool,L10 7LD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92233300209045,53.46831130981450,2019-06-18,5,5,5,
622246,PI/000257550,Absolutely Catering at Four Oaks,School/college/university,7845,"Four Oaks Primary School, 39 Davy Street",Liverpool,Liverpool,L5 1XP,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96295809745789,53.42747116088870,2019-05-20,0,0,0,
606077,PI/000257587,Absolutely Catering at Good Help RC,School/college/university,7845,Our Lady Of Good Help Catholic Primary School South Drive,Liverpool,Liverpool,L15 8JL,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91945099830627,53.39971542358400,2020-03-06,0,0,0,Wavertree
586789,PI/000257560,Absolutely Catering at Gwladys St,School/college/university,7845,"Absolutely Catering, Gwladys Street Primary School Gwladys Street",Liverpool,Liverpool,L4 5RW,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96370911598206,53.43939208984380,2019-09-12,0,0,0,
673745,PI/000257562,Absolutely Catering at Holy Name,School/college/university,7845,Holy Name Catholic Primary School Moss Pits Lane,Liverpool,Liverpool,L10 9LG,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92906093597412,53.46732330322270,2017-10-14,0,5,0,
683761,PI/000257564,Absolutely Catering at Holy Trinity,School/college/university,7845,Holy Trinity Catholic Primary School Banks Road,Liverpool,Liverpool,L19 8JY,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.89165210723877,53.34913635253910,2017-06-13,0,5,0,
586790,PI/000257569,Absolutely Catering at Kirkdale St,School/college/university,7845,"Absolutely Catering, 130 Fonthill Road",Liverpool,Liverpool,L4 1QD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.98236608505249,53.43568801879880,2019-01-15,5,0,0,
622247,PI/000257571,Absolutely Catering at Lawrence,School/college/university,7845,Lawrence Community Primary School Lawrence Road,Liverpool,Liverpool,L15 0EE,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.93549299240112,53.39736175537110,2019-05-07,0,0,0,
606075,PI/000257574,Absolutely Catering at Leamington,School/college/university,7845,Leamington Community Primary School Leamington Road,Liverpool,Liverpool,L11 7BT,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.93668603897095,53.44689559936520,2019-01-08,0,0,0,
1172215,71017,Absolutely Catering at Northcote Primary School,School/college/university,7845,Northcote Primary School Cavendish Drive,Liverpool,Liverpool,L9 1HW,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96030497550964,53.45069122314450,2019-06-13,0,0,0,
570369,PI/000257479,Absolutely Catering at Northway,School/college/university,7845,"Absolutely Catering, Northway County Primary School Northway",Liverpool,Liverpool,L15 7JQ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.90711998939514,53.40332412719730,2019-07-05,0,0,0,
902193,PI/000269144,Absolutely Catering at Redbridge,School/college/university,7845,"Redbridge High School, 179 Long Lane",Liverpool,Liverpool,L9 6AD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92990589141846,53.45567703247070,2019-11-28,0,0,0,Walton
683763,PI/000257595,Absolutely Catering at Rice Lane,School/college/university,7845,"Absolutely Catering, Rice Lane Primary School Lynwood Road",Liverpool,Liverpool,L9 3AE,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96599698066711,53.45931243896480,2017-09-19,0,5,0,
606078,PI/000257597,Absolutely Catering at Roscoe,School/college/university,7845,"Absolutely Catering, Former Roscoe County Primary Infants School Alison Road",Liverpool,Liverpool,L13 9AL,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92648911476135,53.43014144897460,2017-11-15,0,0,0,
734096,PI/000263931,Absolutely Catering at St Anthony,School/college/university,7845,St Anthony Of Padua Catholic Primary School Sands Road,Liverpool,Liverpool,L18 8BD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91840791702271,53.38198852539060,2019-07-12,5,5,0,
616759,PI/000257605,Absolutely Catering at St Cuthberts,School/college/university,7845,Former St Cuthberts Catholic Primary School And Nursery Aviemore Road,Liverpool,Liverpool,L13 3BB,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92500495910645,53.41448593139650,2019-11-29,0,0,0,
570376,PI/000257607,Absolutely Catering at St Finbars,School/college/university,7845,"Absolutely Catering, St Finbars, 57 South Hill Road",Liverpool,Liverpool,L8 9RY,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96080589294434,53.38142013549800,2017-12-01,5,5,5,
570377,PI/000257609,Absolutely Catering at St Francis,School/college/university,7845,St Francis De Sales Infant And Nursery School Margaret Road,Liverpool,Liverpool,L4 3RX,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97353196144104,53.44367980957030,2019-09-24,5,0,0,
570378,PI/000257612,Absolutely Catering at St Francis DS,School/college/university,7845,St Francis De Sales R C Church Hale Road,Liverpool,Liverpool,L4 3RL,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97275996208191,53.44287109375000,2017-10-05,0,5,5,Walton
622248,PI/000257614,Absolutely Catering at St Hughs,School/college/university,7845,St Hughs Catholic Primary School Earle Road,Liverpool,Liverpool,L7 6HE,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94045209884644,53.39854431152340,2019-05-14,5,5,0,
606079,PI/000257617,Absolutely Catering at St Matthews,School/college/university,7845,"Absolutely Catering, St Matthews Catholic Primary School Queens Drive",Liverpool,Liverpool,L4 8UA,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.93569803237915,53.43758392333980,2017-11-15,0,0,0,Walton
606080,PI/000257620,Absolutely Catering at St Michaels,School/college/university,7845,St Michaels Catholic Primary School Guion Street,Liverpool,Liverpool,L6 9DU,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95139098167419,53.41767501831050,2019-06-04,5,5,0,
606076,PI/000257582,Absolutely Catering at St Philomenas,School/college/university,7845,Our Lady And St Philomenas Catholic Primary School Sparrow Hall Road,Liverpool,Liverpool,L9 6BU,1,fhrs_1_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.92434692382813,53.45418548583980,2019-11-28,15,15,20,
606081,PI/000257629,Absolutely Catering at St Sebastians,School/college/university,7845,St Sebastians Catholic Primary School Holly Road,Liverpool,Liverpool,L7 0LH,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.93839192390442,53.41022872924800,2019-03-22,5,5,5,
683766,PI/000257631,Absolutely Catering at St Silas,School/college/university,7845,"Absolutely Catering, St Silas Church Of England Primary School High Park Street",Liverpool,Liverpool,L8 3TP,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96063899993896,53.38739013671880,2019-09-04,0,0,0,
634262,PI/000257585,Absolutely Catering at St Swithins,School/college/university,7845,Our Lady And St Swithins Catholic Primary School Parkstile Lane,Liverpool,Liverpool,L11 0BQ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.90041494369507,53.45904922485350,2019-07-18,0,0,0,
